id,name,date,description,type
2,First Friday - Eat Local Buy Local,2017-11-03,,FF
3,Keys to Our Common Future,2017-11-07,,
4,Food at Lunch - Kentucky Beef,2017-11-09,,
5,Gathering at the Table (11/14),2017-11-14,,
6,GEO 350 - Keiko Tanaka Food Demo,2017-11-28,,
8,Extension Nutrition Education Specialists,2017-11-30,,
9,4H Agent Conference (12/5),2017-12-05,,
10,4H Agent Conference (12/6),2017-12-06,,
11,4H Agent Conference (12/7),2017-12-07,,
12,Food at Lunch Forum (12/14),2017-12-14,,
13,Winter Welcome Reception (12/14),2017-12-14,,
14,ESL Cooking Class (10/27),2017-10-27,,
15,First Friday Breakfast - Agribility (2/2),2018-02-02,,FF
16,CKUK/SSTOP (2/6),2018-02-06,,
18,Opthalmology Grand Rounds (2/9),2018-02-09,,
19,Markey Cancer Center (2/12),2018-02-12,,
20,Cooking Class with Chef Nichelle Thurston (2/13),2018-02-13,,
21,Lunar New Year Celebration (2/16),2018-02-16,,
22,First Friday - National Honey Month (9/1),2017-09-01,,FF
23,Food Systems Initiative - Open House (9/7),2017-09-07,,
24,Gathering at the Table (9/12),2017-09-12,,
25,UK Wellness - Veg Out! CSA Voucher Demo (9/14),2017-09-14,,
26,Food at Lunch Forum - Betsy Beymer-Farris (9/21),2017-09-21,,
27,UK Dining - Let's Cook! (9/26),2017-09-26,,
28,Keys to Our Common Future (9/26),2017-09-26,,
29,Gatton College of Business - Staff Retreat (9/28),2017-09-28,,
30,UK Dining - Let's Cook! (10/3),2017-10-03,,
31,Michael Twitty - Cooking Class (10/3),2017-10-03,,
32,The economy and ethics of animal farming (10/4),2017-10-04,,
33,UK Dining - Let's Cook! AM (10/5),2017-10-05,,
34,UK Dining - Let's Cook!  PM (10/5),2017-10-05,,
35,First Friday - Farm Tour (10/6),2017-10-06,,FF
36,Cooking Mooncakes (10/6),2017-10-06,,
37,Keiko Tanaka's Potluck and Demo (10/10),2017-10-10,,
38,American Farmland Trust Discussion (10/10),2017-10-10,,
39,Gathering at the Table (10/10),2017-10-10,,
40,Who does the work? (10/11),2017-10-11,,
41,Craft writing and teaching (10/12),2017-10-12,,
42,Class Demonstration (10/12),2017-10-12,,
43,Fair Trade Coffee (10/18),2017-10-18,,
44,UK Dining - Let's Cook! AM (10/19),2017-10-19,,
45,UK Dining - Let's Cook! PM (10/19),2017-10-19,,
46,Field Trip to Erik's Organics (10/25),2017-10-25,,
47,Lindsay Shade (10/26),2017-10-26,,
48,Anita Courtney - Nutrition Class (10/31),2017-10-31,,
49,Local food lecture and cooking class (10/31),2017-10-31,,
50,Transformative Learning (2/19),2018-02-19,Staff Retreat Cooking Class,
51,President’s Sustainability Advisory Council (2/20),2018-02-20,PSAC meeting,
52,Food @ Lunch Forum (2/21),2018-02-21,"Jim Ziliak, PhD
Food Insecurity and Food Assistance in the U.S.",
53,Class visit (2/22),2018-02-22,"Food, Culture, and Society class lecture and demo",
54,Back to Basics Cooking Class (2/22),2018-02-22,B2B: Food with Friends,
55,Big Blue Pantry Sampling (2/28),2018-02-28,,
56,Neurogastronomy Conference (3/02),2018-03-02,Lunch and chef challenge,
57,Gathering at the Table (3/06),2018-03-06,Cooking class and dinner,
58,Gen 100 (3/20),2018-03-20,Cooking class,
59,Food @ Lunch Forum (3/21),2018-03-21,"Demonstration by Tyler Kord, Chef, No. 7 Sub",
60,Back to Basics Cooking Class (3/22),2018-03-22,B2B: Culinary Classics,
61,Ag LLP (3/27),2018-03-27,International student challenge,
62,Big Blue Pantry Sampling (3/28),2018-03-28,,
63,Gathering at the Table (3/28),2018-03-28,Cooking class and dinner,
64,Keys to Our Common Future (4/03),2018-04-03,Cuban Cuisine with Ondine Quinn,
65,First Friday Breakfast (4/06),2018-04-06,Heirloom Seeds,FF
66,Gathering at the Table (4/10),2018-04-10,Cooking class and dinner,
67,Big Blue Pantry Sampling (4/11),2018-04-11,,
68,Food at Lunch Forum (4/18),2018-04-18,Vanessa Oliver and Jody Ensman - The Link Between Wellness Programs and Employee Health Care Costs,
69,Clark County 4H (4/19),2018-04-19,Cooking class,
70,Anthropology 250 (4/26),2018-04-26,Archaeology Potluck,
71,First Friday Breakfast (5/04),2018-05-04,CLUCK,FF
72,4H Teen Conference (6/12),2018-06-12,Cooking Challenge Class,
73,4H Teen Conference (6/13),2018-06-13,Cooking Challenge Class,
